,eng,part,mean
11544,instill,verb,To cause a quality to become part of someone's nature.
11545,instilled,verb,To cause a quality to become part of someone's nature.
11546,instinct,noun,A natural or inherent impulse or behaviour.
11547,instinctively,adverb,Innately; by instinct; without being taught.
11548,instincts,noun,A natural or inherent impulse or behaviour.
11549,institute,noun,An organization founded to promote a cause
11550,instituted,verb,To begin or initiate (something); to found.
11551,institution,noun,A custom or practice of a society or community.
11552,institutional,adjective,"Of, pertaining to, characteristic of, or organized along the lines of an institution."
11553,institutionalized,verb,To establish as a normal practice
11554,institutions,noun,A custom or practice of a society or community.
11555,instruct,noun,Instruction.
11556,instructed,verb,To teach by giving instructions.
11557,instructing,verb,To teach by giving instructions.
11558,instruction,noun,"The act of instructing, teaching, or furnishing with information or knowledge."
11559,instructions,noun,"The act of instructing, teaching, or furnishing with information or knowledge."
11560,instructor,noun,One who instructs; a teacher.
11561,instructors,noun,One who instructs; a teacher.
11562,instrument,noun,A device used to produce music.
11563,instruments,noun,A device used to produce music.
11564,insufferable,adjective,Not sufferable; very difficult or impossible to endure.
11565,insufficient,adjective,Not sufficient.
11566,insulated,verb,"To separate, detach, or isolate."
11567,insulation,noun,The act of insulating; detachment from other objects; isolation.
11568,insulin,noun,A polypeptide hormone that regulates carbohydrate metabolism.
11569,insult,noun,Action or form of speech deliberately intended to be rude; a particular act or statement having this effect.
11570,insulted,verb,"To be insensitive, insolent, or rude to (somebody); to affront or demean (someone)."
11571,insulting,verb,"To be insensitive, insolent, or rude to (somebody); to affront or demean (someone)."
11572,insults,noun,Action or form of speech deliberately intended to be rude; a particular act or statement having this effect.
11573,insurance,noun,A means of indemnity against a future occurrence of an uncertain event.
11574,insure,verb,"To make a pledge to (someone); to promise, guarantee (someone of something); to assure."
11575,insured,verb,"To make a pledge to (someone); to promise, guarantee (someone of something); to assure."
11576,insuring,verb,"To make a pledge to (someone); to promise, guarantee (someone of something); to assure."
11577,insurmountable,adjective,"Incapable of being passed over, surmounted, or overcome; insuperable"
11578,insurrection,noun,A violent uprising of part or all of a national population against the government or other authority.
11579,intact,adjective,"Left complete or whole; not touched, defiled, sullied or otherwise damaged"
11580,intake,noun,"The place where water, air or other fluid is taken into a pipe or conduit; opposed to outlet."
11581,integral,noun,"A number, the limit of the sums computed in a process in which the domain of a function is divided into small subsets and a possibly nominal value of the function on each subset is multiplied by the measure of that subset, all these products then being summed."
11582,integrate,verb,To form into one whole; to make entire; to complete; to renew; to restore; to perfect.
11583,integrated,verb,To form into one whole; to make entire; to complete; to renew; to restore; to perfect.
11584,integration,noun,The act or process of making whole or entire.
11585,integrity,noun,Steadfast adherence to a strict moral or ethical code.
11586,intellect,noun,"The faculty of thinking, judging, abstract reasoning, and conceptual understanding; the cognitive faculty (uncountable)"
11587,intellectual,noun,"An intelligent, learned person, especially one who discourses about learned matters."
11588,intellectually,adverb,In an intellectual manner.
11589,intellectuals,noun,"An intelligent, learned person, especially one who discourses about learned matters."
11590,intelligence,noun,"Capacity of mind, especially to understand principles, truths, facts or meanings, acquire knowledge, and apply it to practice; the ability to comprehend and learn."
11591,intelligent,adjective,"Of high or especially quick cognitive capacity, bright."
11592,intelligently,adverb,In an intelligent manner; cleverly.
11593,intend,verb,"(usually followed by the particle ""to"") To hope; to wish (something, or something to be accomplished); be intent upon"
11594,intended,verb,"(usually followed by the particle ""to"") To hope; to wish (something, or something to be accomplished); be intent upon"
11595,intending,verb,"(usually followed by the particle ""to"") To hope; to wish (something, or something to be accomplished); be intent upon"
11596,intends,verb,"(usually followed by the particle ""to"") To hope; to wish (something, or something to be accomplished); be intent upon"
11597,intense,adjective,Strained; tightly drawn.
11598,intensely,adverb,In an intense manner.
11599,intensity,noun,The quality of being intense.
11600,intensive,noun,Form of a word with a stronger or more forceful sense than the root on which the intensive is built.
11601,intent,noun,A purpose; something that is intended.
11602,intention,noun,The goal or purpose behind a specific action or set of actions.
11603,intentional,adjective,Intended or planned; done deliberately or voluntarily.
11604,intentionally,adverb,In an intentional manner; on purpose.
11605,intentions,noun,The goal or purpose behind a specific action or set of actions.
11606,intently,adverb,In an intent or focused manner.
11607,inter,verb,To bury in a grave.
11608,interact,noun,"A short act or piece between others, as in a play; a break between acts."
11609,interacting,verb,To act upon each other.
11610,interaction,noun,The situation or occurrence in which two or more objects or events act upon one another to produce a new effect; the effect resulting from such a situation or occurrence.
11611,interactive,noun,A feature (as in a museum) that can be interacted with.
11612,intercede,verb,To plead on someone else's behalf.
11613,intercept,noun,An interception of a radio broadcast or a telephone call.
11614,intercepted,verb,"To stop, deflect or divert (something in progress or motion)."
11615,intercepting,verb,"To stop, deflect or divert (something in progress or motion)."
11616,interchangeable,noun,Anything that can be interchanged; a substitute.
11617,intercom,noun,"An electronic communication system, especially one between rooms in a building"
11618,intercourse,noun,"Communication, conversation."
11619,interest,noun,"The price paid for obtaining, or price received for providing, money or goods in a credit transaction, calculated as a fraction of the amount or value of what was borrowed."
11620,interested,verb,"To engage the attention of; to awaken interest in; to excite emotion or passion in, in behalf of a person or thing."
11621,interesting,verb,"To engage the attention of; to awaken interest in; to excite emotion or passion in, in behalf of a person or thing."
11622,interests,noun,"The price paid for obtaining, or price received for providing, money or goods in a credit transaction, calculated as a fraction of the amount or value of what was borrowed."
11623,interface,noun,The point of interconnection or contact between entities.
11624,interfacing,verb,To construct an interface for.
11625,interfere,verb,"To get involved or involve oneself, causing disturbance."
11626,interfered,verb,"To get involved or involve oneself, causing disturbance."
11627,interference,noun,"The act of interfering with something, or something that interferes."
11628,interferes,verb,"To get involved or involve oneself, causing disturbance."
11629,interfering,verb,"To get involved or involve oneself, causing disturbance."
11630,interior,noun,"The inside of a building, container, cavern, or other enclosed structure."
11631,interject,verb,To insert something between other things.
11632,interlude,noun,"An intervening episode, etc."
11633,intermediary,noun,An agent acting as a mediator between sides that may disagree.
11634,intermediate,noun,Anything in an intermediate position.
11635,intermission,noun,"A break between two performances or sessions, such as at a concert, play, seminar, or religious assembly."
11636,intermittent,noun,An intermittent fever or disease.
11637,intern,noun,"A person who is interned, forcibly or voluntarily."
11638,internal,adjective,Inside of something
11639,internally,adverb,In an internal manner; within or inside of external limits; in an inner part or situation.
11640,international,noun,Someone who has represented their country in a particular sport.
11641,internationally,adverb,In an international manner.
11642,interning,verb,"To imprison somebody, usually without trial."
11643,internist,noun,A physician who specialises in internal medicine.
11644,internment,noun,"Confinement within narrow limits, as of foreign troops, to the interior of a country."
11645,interns,noun,"A person who is interned, forcibly or voluntarily."
11646,internship,noun,A job taken by a student in order to learn a profession or trade.
11647,interplanetary,adjective,Existing or occurring between planets
11648,interpret,verb,"To explain or tell the meaning of; to translate orally into intelligible or familiar language or terms. applied especially to language, but also to dreams, signs, conduct, mysteries, etc."
11649,interpretation,noun,An act of interpreting or explaining what is obscure; a translation; a version; a construction.
11650,interpreted,verb,"To explain or tell the meaning of; to translate orally into intelligible or familiar language or terms. applied especially to language, but also to dreams, signs, conduct, mysteries, etc."
11651,interpreter,noun,"One who conveys what a user of one language is saying or signing, in real time or shortly after that person has finished communicating, to a user of a different language. (Contrasted with a translator.)"
11652,interpreting,verb,"To explain or tell the meaning of; to translate orally into intelligible or familiar language or terms. applied especially to language, but also to dreams, signs, conduct, mysteries, etc."
11653,interpretive,adjective,Marked by interpretation.
11654,interracial,adjective,Between or among two or more different races.
11655,interrogate,verb,"To question or quiz, especially in a thorough and/or aggressive manner"
11656,interrogated,verb,"To question or quiz, especially in a thorough and/or aggressive manner"
11657,interrogating,verb,"To question or quiz, especially in a thorough and/or aggressive manner"
11658,interrogation,noun,The act of interrogating or questioning; examination by questions; inquiry.
11659,interrogations,noun,The act of interrogating or questioning; examination by questions; inquiry.
11660,interrupt,noun,An event that causes a computer or other device to temporarily cease what it was doing and attend to a condition.
11661,interrupted,verb,"To disturb or halt (an ongoing process or action, or the person performing it) by interfering suddenly."
11662,interrupting,verb,"To disturb or halt (an ongoing process or action, or the person performing it) by interfering suddenly."
11663,interruption,noun,"The act of interrupting, or the state of being interrupted."
11664,interruptions,noun,"The act of interrupting, or the state of being interrupted."
11665,interrupts,noun,An event that causes a computer or other device to temporarily cease what it was doing and attend to a condition.
11666,intersection,noun,"The junction of two (or more) paths, streets, highways, or other thoroughfares."
11667,interstate,noun,A freeway that is part of the Interstate Highway System.
11668,interstellar,adjective,Between the stars.
11669,intertwined,verb,To twine something together.
11670,intervene,verb,"To become involved in a situation, so as to alter or prevent an action."
11671,intervened,verb,"To become involved in a situation, so as to alter or prevent an action."
11672,intervening,verb,"To become involved in a situation, so as to alter or prevent an action."
11673,intervention,noun,The action of intervening; interfering in some course of events.
11674,interview,noun,An official face-to-face meeting of monarchs or other important figures.
11675,interviewed,verb,To ask questions of (somebody); to have an interview.
11676,interviewer,noun,One who interviews.
11677,interviewing,verb,To ask questions of (somebody); to have an interview.
11678,interviews,noun,An official face-to-face meeting of monarchs or other important figures.
11679,intestinal,adjective,Relating to the intestines.
11680,intestines,noun,(often pluralized) The alimentary canal of an animal through which food passes after having passed all stomachs.
11681,intimacy,noun,"Feeling or atmosphere of closeness and openness towards someone else, not necessarily involving sexuality."
11682,intimate,noun,A very close friend.
11683,intimated,verb,To suggest or disclose (something) discreetly.
11684,intimately,adverb,In an intimate manner.
11685,intimidate,verb,"To make timid or afraid; to cause to feel fear or nervousness; to deter, especially by threats of violence"
11686,intimidated,verb,"To make timid or afraid; to cause to feel fear or nervousness; to deter, especially by threats of violence"
11687,intimidating,verb,"To make timid or afraid; to cause to feel fear or nervousness; to deter, especially by threats of violence"
11688,into,preposition,To or towards the inside of.
11689,intolerable,adjective,Not tolerable; not capable of being borne or endured
11690,intolerant,noun,One who is intolerant; a bigot.
11691,intoxicated,verb,To stupefy by doping with chemical substances such as alcohol.
11692,intoxicating,verb,To stupefy by doping with chemical substances such as alcohol.
11693,intoxication,noun,"A poisoning, as by a spirituous or a narcotic substance."
11694,intravenous,noun,"A dose of medicine administered from a drip, down through a hollow needle inserted into a patient's vein."
11695,intrigue,noun,A complicated or clandestine plot or scheme intended to effect some purpose by secret artifice; conspiracy; stratagem.
11696,intrigued,verb,To conceive or carry out a secret plan intended to harm; to form a plot or scheme.
11697,intrigues,noun,A complicated or clandestine plot or scheme intended to effect some purpose by secret artifice; conspiracy; stratagem.
11698,intriguing,verb,To conceive or carry out a secret plan intended to harm; to form a plot or scheme.
11699,intro,noun,An introduction.
11700,introduce,verb,(of people) To cause (someone) to be acquainted (with someone else).
11701,introduced,verb,(of people) To cause (someone) to be acquainted (with someone else).
11702,introduces,verb,(of people) To cause (someone) to be acquainted (with someone else).
11703,introducing,verb,(of people) To cause (someone) to be acquainted (with someone else).
11704,introduction,noun,The act or process of introducing.
11705,introductions,noun,The act or process of introducing.
11706,introductory,adjective,Introducing; giving a preview or idea of.
11707,intros,noun,An introduction.
11708,intrude,verb,"To thrust oneself in; to come or enter without invitation, permission, or welcome; to encroach; to trespass."
11709,intruded,verb,"To thrust oneself in; to come or enter without invitation, permission, or welcome; to encroach; to trespass."
11710,intruder,noun,Someone who intrudes.
11711,intruders,noun,Someone who intrudes.
11712,intruding,verb,"To thrust oneself in; to come or enter without invitation, permission, or welcome; to encroach; to trespass."
11713,intrusion,noun,The forcible inclusion or entry of an external group or individual; the act of intruding.
11714,intubate,verb,To insert a tube into.
11715,intuition,noun,Immediate cognition without the use of conscious rational processes.
11716,intuitive,noun,One who has (especially parapsychological) intuition.
11717,inundated,verb,To cover with large amounts of water; to flood.
11718,invade,verb,To move into.
11719,invaded,verb,To move into.
11720,invaders,noun,One who invades a region
11721,invading,verb,To move into.
11722,invalid,adjective,"Not valid; not true, correct, acceptable or appropriate."
11723,invalidate,verb,To make invalid. Especially applied to contract law.
11724,invaluable,adjective,"Of great value; costly, precious, priceless."
11725,invasion,noun,"A military action consisting of armed forces of one geopolitical entity entering territory controlled by another such entity, generally with the objective of conquering territory or altering the established government."
11726,invasive,noun,"An invasive organism, as, a plant or animal."
11727,invent,verb,To design a new process or mechanism.
11728,invented,verb,To design a new process or mechanism.
11729,invention,noun,Something invented.
11730,inventions,noun,Something invented.
11731,inventive,adjective,"Of, or relating to invention; pertaining to the act of devising new mechanisms or processes."
11732,inventory,noun,(operations) The stock of an item on hand at a particular location or business.
11733,inverted,verb,To turn (something) upside down or inside out; to place in a contrary order or direction.
11734,invest,verb,"To spend money, time, or energy on something, especially for some benefit or purpose; used with in."
11735,invested,verb,"To spend money, time, or energy on something, especially for some benefit or purpose; used with in."
11736,investigate,verb,To inquire into or study in order to ascertain facts or information.
11737,investigated,verb,To inquire into or study in order to ascertain facts or information.
11738,investigates,verb,To inquire into or study in order to ascertain facts or information.
11739,investigating,verb,To inquire into or study in order to ascertain facts or information.
11740,investigation,noun,"The act of investigating; the process of inquiring into or following up; research, especially patient or thorough inquiry or examination"
11741,investigations,noun,"The act of investigating; the process of inquiring into or following up; research, especially patient or thorough inquiry or examination"
11742,investigative,adjective,Of or pertaining to investigation
11743,investigator,noun,One who investigates.
11744,investigators,noun,One who investigates.
11745,investing,verb,"To spend money, time, or energy on something, especially for some benefit or purpose; used with in."
11746,investment,noun,"The act of investing, or state of being invested."
11747,investments,noun,"The act of investing, or state of being invested."
11748,investors,noun,A person who invests money in order to make a profit.
11749,invigorated,verb,"To impart vigor, strength, or vitality to."
11750,invigorating,verb,"To impart vigor, strength, or vitality to."
11751,invincible,noun,"Someone or something that cannot be defeated, destroyed or killed."
11752,invisibility,noun,The state of being invisible.
11753,invisible,noun,"An invisible person or thing; specifically, God, the Supreme Being."
11754,invitation,noun,The act of inviting; solicitation; the requesting of a person's company.
11755,invitations,noun,The act of inviting; solicitation; the requesting of a person's company.
11756,invite,verb,To ask for the presence or participation of someone or something.
11757,invited,verb,To ask for the presence or participation of someone or something.
11758,invites,verb,To ask for the presence or participation of someone or something.
11759,inviting,verb,To ask for the presence or participation of someone or something.
11760,invoice,noun,"A bill; a commercial document issued by a seller to a buyer indicating the products, quantities and agreed prices for products or services that the seller has already provided the buyer with. An invoice indicates that, unless paid in advance, payment is due by the buyer to the seller, according to the agreed terms."
11761,invoices,noun,"A bill; a commercial document issued by a seller to a buyer indicating the products, quantities and agreed prices for products or services that the seller has already provided the buyer with. An invoice indicates that, unless paid in advance, payment is due by the buyer to the seller, according to the agreed terms."
11762,invoke,verb,"To call upon (a person, a god) for help, assistance or guidance."
11763,invoked,verb,"To call upon (a person, a god) for help, assistance or guidance."
11764,involve,verb,To roll or fold up; to wind round; to entwine.
11765,involved,verb,To roll or fold up; to wind round; to entwine.
11766,involvement,noun,"The act of involving, or the state of being involved."
11767,involves,verb,To roll or fold up; to wind round; to entwine.
11768,involving,verb,To roll or fold up; to wind round; to entwine.
11769,ion,noun,"An atom or group of atoms bearing an electrical charge, such as the sodium and chlorine atoms in a salt solution."
11770,ions,noun,"An atom or group of atoms bearing an electrical charge, such as the sodium and chlorine atoms in a salt solution."
11771,ipecac,noun,The plant ipecacuanha (Psychotria ipecacuanha) or its root.
11772,iris,noun,"A plant of the genus Iris, common in the northern hemisphere, and generally having attractive blooms (See Iris (plant))."
11773,iron,noun,"A common, inexpensive metal, silvery grey when untarnished, that rusts, is attracted by magnets, and is used in making steel."
11774,ironclad,noun,"A metal-plated ship, vessel, or vehicle."
11775,ironed,verb,To pass an iron over (clothing or some other item made of cloth) in order to remove creases.
11776,ironic,adjective,Characterized by or constituting (any kind of) irony.
11777,ironically,adverb,(manner) In an ironic manner; in a way displaying irony.
11778,ironies,noun,"A statement that, when taken in context, may actually mean something different from, or the opposite of, what is written literally; the use of words expressing something other than their literal intention, often in a humorous context."
11779,ironing,verb,To pass an iron over (clothing or some other item made of cloth) in order to remove creases.
11780,irons,noun,"A common, inexpensive metal, silvery grey when untarnished, that rusts, is attracted by magnets, and is used in making steel."
11781,irony,noun,"A statement that, when taken in context, may actually mean something different from, or the opposite of, what is written literally; the use of words expressing something other than their literal intention, often in a humorous context."
11782,irrational,noun,"A real number that can not be expressed as the quotient of two integers, an irrational number."
11783,irrationally,adverb,In an irrational manner; without reason; in a manner contrary to reason
11784,irregular,noun,"A soldier who is not a member of an official military force and, often, does not follow regular army tactics"
11785,irregularities,noun,An instance of being irregular.
11786,irrelevant,adjective,"Not related, not applicable, unimportant, not connected."
11787,irreparable,adjective,"Incapable of being repaired, amended, cured or rectified; unrepairable."
11788,irreplaceable,adjective,"That cannot be replaced, especially because it is unique."
11789,irresistible,adjective,Impossile to resist.
11790,irresponsibility,noun,The character or state of being irresponsible; lack of or freedom from responsibility; want of accountability.
11791,irresponsible,noun,Someone who is not responsible.
11792,irrevocably,adverb,In an irrevocable manner; beyond recall; in a manner precluding repeal.
11793,irrigate,verb,"To supply (farmland) with water, by building ditches, pipes, etc."
11794,irrigation,noun,"The act or process of irrigating, or the state of being irrigated; especially, the operation of causing water to flow over lands, for nourishing plants."
11795,irritable,adjective,Capable of being irritated.
11796,irritate,verb,"To provoke impatience, anger, or displeasure in."
11797,irritated,verb,"To provoke impatience, anger, or displeasure in."
11798,irritating,verb,"To provoke impatience, anger, or displeasure in."
11799,irritation,noun,The act of irritating or annoying
11800,island,noun,"A contiguous area of land, smaller than a continent, totally surrounded by water."
11801,islanders,noun,A person who lives on an island.
11802,islands,noun,"A contiguous area of land, smaller than a continent, totally surrounded by water."
11803,isolate,noun,Something that has been isolated.
11804,isolated,verb,To set apart or cut off from others.
11805,isolation,noun,"The state of being isolated, detached, or separated."
11806,isotopes,noun,"Any of two or more forms of an element where the atoms have the same number of protons, but a different number of neutrons within their nuclei. As a consequence, atoms of isotopes will have the same atomic number but a different mass number."
11807,issue,noun,"The action or an instance of flowing or coming out, an outflow, particularly:"
11808,issued,verb,"To flow out, to proceed from, to come out or from."
11809,issues,noun,"The action or an instance of flowing or coming out, an outflow, particularly:"
11810,issuing,verb,"To flow out, to proceed from, to come out or from."
11811,itch,noun,A sensation felt on an area of the skin that causes a person or animal to want to scratch.
11812,itches,noun,A sensation felt on an area of the skin that causes a person or animal to want to scratch.
11813,itching,verb,To feel itchy; to feel a need to be scratched.
11814,itchy,adjective,"Having or creating an itch, causing a person or animal to tend to want to scratch."
11815,item,noun,A distinct physical object.
11816,items,noun,A distinct physical object.
11817,itinerary,noun,A written schedule of activities for a vacation or road trip.
11818,its,noun,One who is neither a he nor a she; a creature; a dehumanized being.
11819,itself,pronoun,(reflexive pronoun) it; A thing as the object of a verb or preposition that also appears as the subject
11820,ivories,noun,The keys of a piano.
11821,ivory,noun,"The hard white form of dentin which forms the tusks of elephants, walruses and other animals."
11822,ivy,noun,"Any of several woody, climbing or trailing evergreen plants of the genus Hedera."
11823,jab,noun,A quick stab or blow; a poking or thrusting motion.
11824,jabber,noun,"Rapid or incoherent talk, with indistinct utterance; gibberish."
11825,jabbering,verb,"To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense."
11826,jabot,noun,"A cascading or ornamental frill down the front of a blouse, shirt, etc."
11827,jabs,noun,A quick stab or blow; a poking or thrusting motion.
11828,jack,noun,"A coarse mediaeval coat of defence, especially one made of leather."
11829,jackal,noun,"Any of certain wild canids of the genus Canis, native to the tropical Old World and smaller than a wolf."
11830,jackals,noun,"Any of certain wild canids of the genus Canis, native to the tropical Old World and smaller than a wolf."
11831,jackass,noun,A male donkey
11832,jackasses,noun,A male donkey
11833,jacked,verb,To raise using a jack.
11834,jacket,noun,"A piece of clothing worn on the upper body outside a shirt or blouse, often waist length to thigh length."
11835,jackets,noun,"A piece of clothing worn on the upper body outside a shirt or blouse, often waist length to thigh length."
11836,jacking,verb,To raise using a jack.
11837,jackpot,noun,A money prize pool which accumulates until the conditions are met for it to be won.
11838,jacks,noun,"A coarse mediaeval coat of defence, especially one made of leather."
11839,jade,noun,"A semiprecious stone, either nephrite or jadeite, generally green or white in color, often used for carving figurines."
11840,jaded,verb,"To tire, weary or fatigue"
11841,jag,noun,A sharp projection.
11842,jags,noun,A sharp projection.
11843,jaguar,noun,"A carnivorous spotted large cat native to South and Central America, Panthera onca."
11844,jaguars,noun,"A carnivorous spotted large cat native to South and Central America, Panthera onca."
11845,jail,noun,"A place or institution for the confinement of persons held in lawful custody or detention, especially for minor offenses or with reference to some future judicial proceeding."
11846,jailbird,noun,A prisoner or an ex-prisoner
11847,jailbreak,noun,An escape from prison.
11848,jailed,verb,To imprison.
11849,jailhouse,noun,A building containing a prison.
11850,jake,noun,A juvenile male turkey.
11851,jalopy,noun,"An old, dilapidated or unpretentious automobile."
11852,jam,noun,A sweet mixture of fruit boiled with sugar and allowed to congeal. Often spread on bread or toast or used in jam tarts.
11853,jamboree,noun,A boisterous or lavish celebration or party.
11854,jammed,verb,To get something stuck in a confined space.
11855,jammer,noun,Any device used to jam radio reception.
11856,jammies,noun,Pajamas/pyjamas
11857,jamming,verb,To get something stuck in a confined space.
11858,jams,noun,A sweet mixture of fruit boiled with sugar and allowed to congeal. Often spread on bread or toast or used in jam tarts.
11859,jane,noun,"A silver Genovese coin, first used in England in the 14th century."
11860,janitor,noun,Someone who looks after the maintenance and cleaning of a public building.
11861,janitors,noun,Someone who looks after the maintenance and cleaning of a public building.
11862,japan,noun,A hard black enamel varnish containing asphalt.
11863,jar,noun,"An earthenware container, either with two or no handles, for holding oil, water, wine, etc., or used for burial."
11864,jargon,noun,A technical terminology unique to a particular subject.
11865,jarring,verb,To preserve (food) in a jar.
11866,jars,noun,"An earthenware container, either with two or no handles, for holding oil, water, wine, etc., or used for burial."
11867,jasmine,noun,"Any of several plants, of the genus Jasminum, mostly native to Asia, having fragrant white or yellow flowers."
11868,jasper,noun,Any bright-coloured kind of chalcedony apart from cornelian.
11869,jaundice,noun,"A morbid condition, characterized by yellowness of the eyes, skin, and urine."
11870,jaunt,noun,A wearisome journey.
11871,java,noun,A blend of coffee imported from the island of Java.
11872,javelin,noun,A light spear thrown with the hand and used as a weapon.
11873,jaw,noun,"One of the bones, usually bearing teeth, which form the framework of the mouth."
11874,jawbone,noun,The bone of the lower jaw; the mandible.
11875,jawed,verb,To assail or abuse by scolding.
11876,jaws,noun,"One of the bones, usually bearing teeth, which form the framework of the mouth."
11877,jay,noun,"Any one of the numerous species of birds belonging to several genera within the family Corvidae, including Garrulus, Cyanocitta, Aphelocoma, Perisoreus, Cyanocorax, Gymnorhinus, Cyanolyca, Ptilostomus, and Calocitta, allied to the crows, but smaller, more graceful in form, often handsomely coloured, usually having a crest, and often noisy."
11878,jaywalking,verb,To behave as a jaywalker; to violate pedestrian traffic regulations by crossing a street away from a designated crossing or to walk in the part of the street intended for vehicles rather than on the sidewalk.
11879,jazz,noun,"A musical art form rooted in West African cultural and musical expression and in the African American blues tradition, with diverse influences over time, commonly characterized by blue notes, syncopation, swing, call and response, polyrhythms and improvisation."
11880,jazzed,verb,To destroy.
11881,jealous,adjective,Suspecting rivalry in love; troubled by worries that one might have been replaced in someone's affections; suspicious of a lover's or spouse's fidelity.
11882,jealousy,noun,"A state of suspicious guarding towards a spouse, lover etc., from fears of infidelity."
11883,jean,noun,Denim.
11884,jeans,noun,Denim.
11885,jeep,noun,"A small, blocky, military-style vehicle with four-wheel drive, suited to rough terrain."
11886,jeepers,interjection,Used to express surprise
11887,jeeps,noun,"A small, blocky, military-style vehicle with four-wheel drive, suited to rough terrain."
11888,jeez,interjection,An exclamation denoting surprise or frustration.
11889,jefe,noun,"An officer with political influence; a head or chief in government, such as a sheriff, particularly where that person is Hispanic or of Mexican descent."
11890,jell,noun,A jelly or gel
11891,jellies,noun,An explosive mixture of nitroglycerine and nitrate absorbed onto a base of wood pulp.
11892,jelly,noun,An explosive mixture of nitroglycerine and nitrate absorbed onto a base of wood pulp.
11893,jellybean,noun,"A small, bean-shaped, chewy candy/sweet with a firm coating and a jelly-like center, made of sugar, flavoring, coloring and sometimes starch or other thickener, and usually sold assorted in a wide variety of flavors and bright colors."
11894,jellyfish,noun,"An almost transparent aquatic animal; any one of the acalephs, especially one of the larger species, having a jellylike appearance."
11895,jenny,noun,A device for spinning thread from fiber onto multiple spindles (also called spinning jenny).
11896,jeopardize,verb,"To put in jeopardy, to threaten."
11897,jeopardized,verb,"To put in jeopardy, to threaten."
11898,jeopardizing,verb,"To put in jeopardy, to threaten."
11899,jeopardy,noun,"Danger of loss, harm, or failure."
11900,jerk,noun,"A sudden, often uncontrolled movement, especially of the body."
11901,jerked,verb,To make a sudden uncontrolled movement.
11902,jerkin,noun,"A type of men's garment popular in the sixteenth and seventeenth centuries: a close-fitting collarless jacket, with or without sleeves."
11903,jerking,verb,To make a sudden uncontrolled movement.
11904,jerks,noun,"A sudden, often uncontrolled movement, especially of the body."
11905,jerky,adjective,Characterized by physical jerking.
11906,jerries,noun,"A German, particularly a male German."
11907,jerry,noun,A chamber pot.
11908,jersey,noun,"A garment knitted from wool, worn over the upper body."
11909,jerseys,noun,"A garment knitted from wool, worn over the upper body."
11910,jess,noun,"A short strap fastened around the leg of a bird used in falconry, to which a leash may be fastened."
11911,jest,noun,An act performed for amusement; a joke.
11912,jester,noun,"One who jests, jokes or teases."
11913,jet,noun,"A collimated stream, spurt or flow of liquid or gas from a pressurized container, an engine, etc."
11914,jets,noun,"A collimated stream, spurt or flow of liquid or gas from a pressurized container, an engine, etc."
11915,jettison,noun,(collective) Items that have been or are about to be ejected from a boat or balloon.
11916,jew,noun,The jewfish.
11917,jewel,noun,"A precious or semi-precious stone; gem, gemstone."
11918,jeweler,noun,"A person whose job is making, repairing or selling jewelry."
11919,jewelers,noun,"A person whose job is making, repairing or selling jewelry."
11920,jewellery,noun,"Collectively, personal ornamentation such as rings, necklaces, brooches and bracelets, made of precious metals and sometimes set with gemstones."
11921,jewelry,noun,"Collectively, personal ornamentation such as rings, necklaces, brooches and bracelets, made of precious metals and sometimes set with gemstones."
11922,jewels,noun,"A precious or semi-precious stone; gem, gemstone."
11923,jews,noun,The jewfish.
11924,jib,noun,A triangular staysail set forward of the foremast. In a sloop (see image) the basic jib reaches back roughly to the level of the mast.
11925,jiff,noun,A jiffy; a moment; a short time.
11926,jiffy,noun,"A very short, unspecified length of time."
11927,jig,noun,"A light, brisk musical movement; a gigue."
11928,jiggle,noun,"A weak, shaking movement."
11929,jiggling,verb,To shake something gently; to rattle or wiggle.
11930,jigsaw,noun,A saw with fine teeth and a narrow blade which can cut curves in wood or metal.
11931,jihad,noun,A holy war undertaken by Muslims.
11932,jill,verb,(of a female) To masturbate.
11933,jilted,verb,"To cast off capriciously or unfeelingly, as a lover; to deceive in love."
11934,jimmies,noun,"(especially New England and Philadelphia) Chocolate sprinkles used as a topping for ice cream, cookies, or cupcakes."
11935,jimmy,noun,"(especially New England and Philadelphia) Chocolate sprinkles used as a topping for ice cream, cookies, or cupcakes."
11936,jingle,noun,The sound of metal or glass clattering against itself.
11937,jingles,noun,The sound of metal or glass clattering against itself.
11938,jingling,verb,To make a noise of metal or glass clattering against itself.
11939,jinx,noun,A hex; an evil spell.
11940,jitters,noun,A nervous action; a tic.
11941,jittery,adjective,"Nervy, jumpy, on edge"
11942,job,noun,A task.
11943,jobless,adjective,Lacking employment.
11944,jobs,noun,A task.
11945,jock,noun,A common man.
11946,jockey,noun,One who rides racehorses competitively.
11947,jockeys,noun,Men's or boys' briefs.
11948,jocks,noun,A common man.
11949,jockstrap,noun,An athletic supporter worn by men to support the genitals during strenuous exercise.
11950,joe,noun,A male; a guy; a fellow.
11951,joes,noun,"Darling, sweetheart."
11952,joey,noun,"The immature young of a marsupial, notably a junior kangaroo, but also a young wallaby, koala, etc."
11953,jog,noun,"An energetic trot, slower than a run, often used as a form of exercise."
11954,jogger,noun,A person who jogs (as exercise).
11955,jogging,noun,The action of the verb to jog.
11956,john,noun,A prostitute's client.
11957,johnny,noun,A prostitute's client.
11958,johns,noun,A prostitute's client.
